experiment,cnn,cnn_size,transformer,n_trans_layer,projected_dim,pos_encoding,mae_mm,unseen_mae_mm,model_params_count,model_size
default,True,"[64, 128]",True,4,128,True,0.2843733644565054,1.3466294692945333,3372292,38.827009201049805
no_transformer,True,"[64, 128]",False,4,128,False,0.4560882965040196,2.1812806696757363,2180868,24.99992275238037
no_cnn,False,"[64, 128]",True,4,128,True,0.3659700697466779,1.3600622952117458,3037700,34.98792743682861
no_pos,True,"[64, 128]",True,4,128,False,0.3488958210827988,1.3477507110786044,3370244,38.80262088775635
smaller_cnn,True,"[32, 64]",True,4,128,True,0.3412213946257554,1.263811622520458,3185540,36.689799308776855
bigger_cnn,True,"[128, 256]",True,4,128,True,0.2738819478976014,1.2972470259587685,3856388,44.367051124572754
two_transformer_blocks,True,"[64, 128]",True,2,128,True,0.3494816205620801,1.3760996243795702,2777604,31.9262638092041
six_transformer_blocks,True,"[64, 128]",True,6,128,True,0.4247069451956251,1.285730326856057,3966980,45.731271743774414
projected_dim_64,True,"[64, 128]",True,4,64,True,0.32637597989098,1.327560080979964,1461956,16.964874267578125
projected_dim_256,True,"[64, 128]",True,4,256,True,0.3482775294159397,1.320877854408534,8765828,100.5511302947998
small_default,True,"[32, 64]",True,2,64,True,0.354901556627254,1.3761766518765797,1174340,13.578322410583496
big_default,True,"[128, 256]",True,6,256,True,0.9368914667887464,1.422087665867374,11749764,134.79816913604736
