missing_sensors,leds_removed,pds_removed,mae_LED,mae_mm_LED,rmse_mm_LED,mae_PD,mae_mm_PD,rmse_mm_PD,mae_both,mae_mm_both,rmse_mm_both
0,[],[],0.06179013518276907,0.2780556083224608,0.4878472277416114,0.05684164640059313,0.2557874088026691,0.4752311470885388,0.06935459211054384,0.3120956644974473,0.5217711988033973
1,[14],[15],0.06648089509022195,0.2991640279059988,0.5311700178979112,0.07277145941077451,0.32747156734848526,0.5297395538238373,0.0704988049028073,0.3172446220626328,0.523088658860469
2,"[2, 3]","[5, 14]",0.07673103521428813,0.3452896584642966,0.5393916292738216,0.08321640384189476,0.3744738172885264,0.5846785114537917,0.08200843984679405,0.36903797931057325,0.5865372345099269
3,"[6, 11, 3]","[9, 8, 10]",0.07286460919124518,0.3278907413606033,0.562471024332805,0.07404835302028889,0.3332175885913,0.5507764004705562,0.07765124239264709,0.3494305907669119,0.5640112217899116
4,"[14, 11, 15, 0]","[9, 10, 13, 8]",0.07573305833599112,0.34079876251196,0.5716027020298798,0.06951721496949524,0.3128274673627286,0.5594077095306573,0.09327623537955515,0.41974305920799815,0.6529473725576652
5,"[10, 15, 4, 11, 9]","[7, 10, 9, 1, 5]",0.07929932041018557,0.3568469418458351,0.5788632090066695,0.08461266110731148,0.3807569749829017,0.6346639193107199,0.11125360559703269,0.5006412251866471,0.7471858996567986
6,"[12, 7, 14, 6, 3, 5]","[12, 15, 5, 10, 3, 0]",0.08391431647426385,0.37761442413418733,0.5769006749632173,0.09602121435884502,0.4320954646148026,0.6743172235627346,0.10475236438306694,0.4713856397238012,0.6949771307235183
7,"[0, 2, 13, 10, 7, 8, 3]","[15, 5, 2, 3, 7, 11, 14]",0.08414712421690508,0.37866205897607286,0.5903921646628025,0.13629628251543374,0.6133332713194518,0.8356380536428967,0.14041910390913206,0.6318859675910943,0.8418391391341601
8,"[8, 4, 15, 5, 14, 13, 2, 11]","[10, 6, 12, 3, 5, 4, 1, 14]",0.08424457844063697,0.37910060298286635,0.5915621902773568,0.1106971060879208,0.4981369773956436,0.7374063209781366,0.13681971034037305,0.6156886965316787,0.8212271583442796
9,"[13, 14, 10, 9, 7, 5, 3, 8, 15]","[2, 14, 6, 13, 9, 5, 7, 3, 1]",0.09529561994429513,0.4288302897493281,0.6317263752193464,0.13486115689133438,0.6068752060110046,0.8482584519923513,0.21253175670544516,0.9563929051745033,1.1341166748224312
10,"[14, 9, 12, 3, 2, 8, 0, 4, 1, 5]","[11, 14, 0, 8, 10, 13, 5, 12, 15, 3]",0.08375625479303954,0.3769031465686779,0.5832591303650012,0.15326246273633512,0.689681082313508,0.9021673128736878,0.1665330082433291,0.7493985370949809,0.9575207688461695
11,"[12, 7, 8, 3, 2, 6, 5, 14, 4, 0, 11]","[5, 8, 11, 2, 14, 6, 12, 9, 13, 10, 7]",0.0889512126482594,0.40028045691716735,0.5995857463443383,0.15879277148361798,0.7145674716762809,0.9400717125949587,0.171975783085218,0.773891023883481,0.9876103395837147
12,"[7, 2, 3, 10, 4, 15, 12, 5, 8, 1, 13, 0]","[12, 11, 2, 8, 13, 3, 14, 9, 5, 15, 1, 7]",0.1064793989179263,0.4791572951306683,0.6892860884612485,0.1727672460917366,0.7774526074128147,0.9777815359974538,0.1843586796642066,0.8296140584889298,1.0183159167466422
13,"[15, 14, 3, 13, 9, 10, 12, 7, 6, 2, 4, 11, 1]","[1, 2, 8, 14, 12, 6, 9, 15, 10, 4, 11, 3, 13]",0.1171932195285156,0.5273694878783202,0.7324858188063215,0.18701505512537453,0.8415677480641853,1.0396135029620213,0.19049171939185025,0.8572127372633261,1.0610949695193526
14,"[15, 6, 2, 3, 4, 9, 13, 11, 7, 0, 5, 10, 1, 12]","[15, 11, 1, 4, 8, 0, 9, 10, 12, 6, 13, 2, 3, 5]",0.11734660316671174,0.5280597142502028,0.7434778227355292,0.17524089621827726,0.7885840329822477,1.0075265101244875,0.17838828224823639,0.8027472701170637,1.0175994533026331
15,"[8, 5, 15, 4, 14, 12, 9, 1, 13, 3, 7, 11, 10, 0, 6]","[2, 12, 9, 0, 4, 5, 15, 1, 10, 14, 11, 7, 8, 6, 13]",0.13232661462773454,0.5954697658248054,0.8375512368862708,0.1896286558177677,0.8533289511799547,1.0475137579752927,0.20321942359937806,0.9144874061972013,1.0942856337273856
