missing_sensors,leds_removed,pds_removed,mae_pos_LED,mae_force_LED,mae_pos_PD,mae_force_PD,mae_pos_both,mae_force_both
0,[],[],0.1110288995699199,0.006377767753950027,0.13563073914449417,0.005429702186865178,0.13385056979312776,0.005854924381388072
1,[3],[6],0.11100231593115298,0.004918136453206118,0.12570628937182574,0.005974812940490722,0.1361345693717205,0.005907903730781479
2,"[12, 15]","[10, 3]",0.12896137545676145,0.0047558242869187575,0.12051669030504072,0.006700863848202648,0.16745950352974032,0.0064117408844867295
3,"[13, 5, 3]","[11, 4, 15]",0.12251688600736088,0.005241628436636417,0.14429420809283094,0.0054562843171956955,0.12486079418620591,0.005456025410855481
4,"[14, 9, 7, 12]","[3, 8, 1, 9]",0.14180873877885738,0.005716350569724154,0.12284535482122186,0.006709543368412318,0.1407573983478716,0.0060899475888758275
5,"[3, 14, 9, 0, 10]","[14, 6, 0, 8, 9]",0.12402352813935609,0.005386844504472347,0.13570369057741183,0.006907455560334347,0.14418036443980212,0.006271467853259392
6,"[4, 0, 1, 8, 2, 6]","[14, 15, 0, 12, 3, 9]",0.10819990774409005,0.00568834650112369,0.1505895708213558,0.0063879664372079314,0.15514727971799455,0.0065728348901770905
7,"[8, 0, 9, 5, 14, 6, 12]","[9, 0, 10, 14, 3, 12, 5]",0.14258872929207594,0.0054313034982425516,0.13889069646473573,0.006512999010133977,0.13014849929964853,0.006295359913229694
8,"[3, 1, 8, 7, 13, 5, 6, 11]","[14, 6, 8, 5, 11, 13, 0, 1]",0.14951970487968888,0.006559536134405399,0.13204453880436504,0.006394701375118341,0.12319598141321132,0.006313345194988
9,"[12, 10, 4, 13, 15, 2, 11, 9, 0]","[15, 8, 13, 1, 2, 7, 12, 3, 10]",0.1328512848171602,0.005714242830104688,0.1458338957103844,0.006172441738623063,0.16660585528916744,0.006652245422103221
10,"[11, 14, 4, 0, 12, 10, 13, 9, 8, 15]","[2, 10, 7, 0, 4, 15, 5, 8, 13, 9]",0.13673368615229856,0.005807151619465782,0.16187758254462903,0.005837589643660898,0.1506580875694351,0.006388131175897832
11,"[9, 7, 0, 1, 10, 14, 2, 5, 15, 11, 6]","[9, 7, 2, 4, 1, 8, 11, 10, 5, 3, 15]",0.11740444548701026,0.005981079693006291,0.15698423996209385,0.00584221000516507,0.166999013728029,0.006835381477659069
12,"[5, 7, 2, 12, 6, 11, 10, 13, 4, 3, 0, 9]","[0, 13, 6, 3, 14, 11, 2, 7, 8, 4, 1, 9]",0.110942143860356,0.005632910083209259,0.12370066236391795,0.00824955680397545,0.1866416311611451,0.007639184057120406
13,"[5, 15, 12, 9, 6, 10, 14, 7, 1, 8, 4, 13, 3]","[7, 13, 11, 14, 5, 3, 2, 10, 0, 12, 9, 8, 15]",0.17129776894185827,0.007315997177526789,0.2032112073105713,0.005831012197340928,0.5061273193695293,0.014827862371533041
14,"[1, 10, 8, 9, 14, 3, 4, 2, 13, 15, 11, 6, 5, 7]","[10, 15, 13, 8, 14, 5, 12, 6, 4, 9, 2, 1, 7, 3]",0.2326290180498169,0.011008654255704466,0.18219131450525203,0.006599460596925898,0.6267495856805542,0.0253051474861643
15,"[4, 2, 1, 9, 3, 7, 8, 10, 14, 13, 0, 11, 6, 15, 12]","[1, 3, 2, 14, 10, 11, 0, 4, 8, 9, 6, 13, 7, 12, 15]",0.2331557615276805,0.010103588556867882,0.23891870395425907,0.008905445410553214,0.8841788124311372,0.04037125280843025
